Tag.ID,TimeStep.coa,Sensor.Value.coa,Sensor.Unit,Number.of.Stations,Number.of.Detections,Sci.Name,Common.Name,Tag.Project,Release.Latitude,Release.Longitude,Release.Date,Tag.Life,Tag.Status,Sex,Bio,Longitude.coa,Latitude.coa,Err
64475,05/14/2017 13:00:00,NA,NA,1,1,CM,green,Bimini,25.690606,-79.26584,5/2/17,513,deployed,unknown,56.2,-79.26763423,25.69004401,140
64475,05/14/2017 13:30:00,NA,NA,1,1,CM,green,Bimini,25.690606,-79.26584,5/2/17,513,deployed,unknown,56.2,-79.26971157,25.69301515,397
64475,05/14/2017 14:00:00,NA,NA,1,1,CM,green,Bimini,25.690606,-79.26584,5/2/17,513,deployed,unknown,56.2,-79.26729834,25.69106948,78
64475,05/14/2017 15:30:00,NA,NA,1,2,CM,green,Bimini,25.690606,-79.26584,5/2/17,513,deployed,unknown,56.2,-79.26728651,25.69020274,109
64475,05/14/2017 16:00:00,NA,NA,1,3,CM,green,Bimini,25.690606,-79.26584,5/2/17,513,deployed,unknown,56.2,-79.26775679,25.6911221,209.3333333
64475,05/14/2017 16:30:00,NA,NA,1,4,CM,green,Bimini,25.690606,-79.26584,5/2/17,513,deployed,unknown,56.2,-79.26636028,25.68962875,241
64475,05/14/2017 17:00:00,NA,NA,1,5,CM,green,Bimini,25.690606,-79.26584,5/2/17,513,deployed,unknown,56.2,-79.26701914,25.69027846,191.8
64475,05/14/2017 17:30:00,NA,NA,1,2,CM,green,Bimini,25.690606,-79.26584,5/2/17,513,deployed,unknown,56.2,-79.26604976,25.68903841,214.5
64475,05/15/2017 00:00:00,NA,NA,1,1,CM,green,Bimini,25.690606,-79.26584,5/2/17,513,deployed,unknown,56.2,-79.263996,25.69051705,260
64475,05/15/2017 00:30:00,NA,NA,1,1,CM,green,Bimini,25.690606,-79.26584,5/2/17,513,deployed,unknown,56.2,-79.26385827,25.68843442,381
64475,05/15/2017 01:00:00,NA,NA,1,1,CM,green,Bimini,25.690606,-79.26584,5/2/17,513,deployed,unknown,56.2,-79.26498306,25.69026605,171
